#------------------------------------------------------------------------------------------------
#At. num  Sp. Name       Sp. Num.  Ground Shells (a)         Ionization Energy (Ry)         
#-------------------------------------------------------------------------------------------
      1  H I                   1  1s                          (0.99946650834345)           
      2  He I                  1  1s2                          1.8071397604                
      2  He II                 2  1s                          (3.9996319920)               
      3  Li I                  1  1s2.2s                       0.3962837429                
      3  Li II                 2  1s2                         [5.559444590]                
      3  Li III                3  1s                          (9.000229390)                
      4  Be I                  1  1s2.2s2                      0.68520580                  
      4  Be II                 2  1s2.2s                       1.3384951                   
      4  Be III                3  1s2                        [11.31116240]                 
      5  B I                   1  1s2.2s2.2p                   0.60989318                  
      5  B II                  2  1s2.2s2                      1.8488460                   
      5  B III                 3  1s2.2s                       2.7878470                   
      5  B IV                  4  1s2                         19.06345                     
      5  B V                   5  1s                         (25.00615145)                 
      6  C I                   1  1s2.2s2.2p2                  0.8276166                   
      6  C II                  2  1s2.2s2.2p                  [1.792230]                   
      6  C III                 3  1s2.2s2                      3.5196870                   
      6  C IV                  4  1s2.2s                       4.740191                    
      6  C V                   5  1s2                        [28.8181220]                  
      6  C VI                  6  1s                         (36.01383580)                 
      7  N I                   1  1s2.2s2.2p3                  1.0682390                   
      7  N II                  2  1s2.2s2.2p2                 [2.1756520]                  
      7  N III                 3  1s2.2s2.2p                  [3.48716]                    
      7  N IV                  4  1s2.2s2                      5.694200                    
      7  N V                   5  1s2.2s                       7.194792                    
      7  N VI                  6  1s2                        [40.5762000]                  
      7  N VII                 7  1s                         (49.02698600)                 
      8  O I                   1  1s2.2s2.2p4                  1.00090860                  
      8  O II                  2  1s2.2s2.2p3                  2.5813540                   
      8  O III                 3  1s2.2s2.2p2                 [4.0376880]                  
      8  O IV                  4  1s2.2s2.2p                   5.689787                    
      8  O V                   5  1s2.2s2                      8.371420                    
      8  O VI                  6  1s2.2s                     [10.15155]                    
      8  O VII                 7  1s2                        [54.3395190]                  
      8  O VIII                8  1s                         (64.0474450)                  
      9  F I                   1  1s2.2s2.2p5                  1.2805530                   
      9  F II                  2  1s2.2s2.2p4                  2.5703070                   
      9  F III                 3  1s2.2s2.2p3                 [4.608950]                   
      9  F IV                  4  1s2.2s2.2p2                 [6.4072]                     
      9  F V                   5  1s2.2s2.2p                  [8.39714]                    
      9  F VI                  6  1s2.2s2                     11.551280                    
      9  F VII                 7  1s2.2s                     [13.610980]                   
      9  F VIII                8  1s2                        [70.1102130]                  
      9  F IX                  9  1s                         (81.0776390)                  
     10  Ne I                  1  1s2.2s2.2p6                  1.58496450                  
     10  Ne II                 2  1s2.2s2.2p5                  3.0107220                   
     10  Ne III                3  1s2.2s2.2p4                  4.661527                    
     10  Ne IV                 4  1s2.2s2.2p3                 [7.14333]                    
     10  Ne V                  5  1s2.2s2.2p2                  9.27898                     
     10  Ne VI                 6  1s2.2s2.2p                  11.60790                     
     10  Ne VII                7  1s2.2s2                     15.23411                     
     10  Ne VIII               8  1s2.2s                     [17.57330]                    
     10  Ne IX                 9  1s2                        [87.890255]                   
     10  Ne X                 10  1s                        (100.1197920)                  
     11  Na I                  1  [Ne].3s                      0.377715190                 
     11  Na II                 2  1s2.2s2.2p6                  3.475483                    
     11  Na III                3  1s2.2s2.2p5                 [5.263970]                   
     11  Na IV                 4  1s2.2s2.2p4                 [7.27164]                    
     11  Na V                  5  1s2.2s2.2p3                 10.17250                     
     11  Na VI                 6  1s2.2s2.2p2                [12.6585]                     
     11  Na VII                7  1s2.2s2.2p                 [15.32480]                    
     11  Na VIII               8  1s2.2s2                    [19.4177]                     
     11  Na IX                 9  1s2.2s                     (22.03900)                    
     11  Na X                 10  1s2                       (107.6854000)                  
     11  Na XI                11  1s                        (121.1773800)                  
     12  Mg I                  1  [Ne].3s2                     0.56198800                  
     12  Mg II                 2  [Ne].3s                      1.10507180                  
     12  Mg III                3  1s2.2s2.2p6                  5.890450                    
     12  Mg IV                 4  1s2.2s2.2p5                 [8.030860]                   
     12  Mg V                  5  1s2.2s2.2p4                [10.3879]                     
     12  Mg VI                 6  1s2.2s2.2p3                [13.7264]                     
     12  Mg VII                7  1s2.2s2.2p2                [16.5383]                     
     12  Mg VIII               8  1s2.2s2.2p                 [19.5450]                     
     12  Mg IX                 9  1s2.2s2                    [24.1065]                     
     12  Mg X                 10  1s2.2s                     (27.01000)                    
     12  Mg XI                11  1s2                       (129.490271)                   
     12  Mg XII               12  1s                        (144.2531200)                  
     13  Al I                  1  [Ne].3s2.3p                  0.43994588                  
     13  Al II                 2  [Ne].3s2                     1.3838730                   
     13  Al III                3  [Ne].3s                      2.0908630                   
     13  Al IV                 4  1s2.2s2.2p6                  8.81928                     
     13  Al V                  5  1s2.2s2.2p5                [11.30594]                    
     13  Al VI                 6  1s2.2s2.2p4                [14.0007]                     
     13  Al VII                7  1s2.2s2.2p3                [17.7688]                     
