 # The filling factors of cosmological HII/HeIII regions and the ensuing electron scattering optical depth
 #
 # The following 11 lines are model identification flags 
 # CUBA V6.3 Nov 2011
 # 0.1000E+01
 # 0.4000E+00 0.1300E+01 0.2000E+00 0.4400E+00 0.1570E+01 0.9000E+00
 # 0.1200E+06 0.1000E+05 0.5000E+04 0.1300E+04
 # 0.3000E+00 0.7000E+00 0.8900E-01 0.7000E+00
 # 0.1000E+01
 # Inputs/salp_SFRD1parfit.hiz.dat
 # Inputs/column_dist.dat
 # 0.1000E+01
 # 0.1800E-03 0.3400E+01
 # 0.1000E+02
 #
 # The following 3 lines are column identification labels
 # z=redshift, Q_HII=ionized hydrogen filling factor, Q_HeIII=doubly ionized helium filling factor,
 # tau_es= (HII+HeII+HeIII) electron scattering optical depth from z to infinity
 #   z         Q_HII     Q_HeIII    tau_es

 0.1500E+02 0.7596E-01 0.1980E-04 0.1279E-02
 0.1495E+02 0.7781E-01 0.1971E-04 0.1313E-02
 0.1490E+02 0.7981E-01 0.1978E-04 0.1354E-02
 0.1485E+02 0.8242E-01 0.2007E-04 0.1425E-02
 0.1480E+02 0.8502E-01 0.2036E-04 0.1496E-02
 0.1475E+02 0.8763E-01 0.2066E-04 0.1567E-02
 0.1470E+02 0.9024E-01 0.2095E-04 0.1638E-02
 0.1465E+02 0.9284E-01 0.2124E-04 0.1709E-02
 0.1460E+02 0.9545E-01 0.2154E-04 0.1780E-02
 0.1455E+02 0.9805E-01 0.2183E-04 0.1851E-02
 0.1450E+02 0.1007E+00 0.2212E-04 0.1922E-02
 0.1445E+02 0.1033E+00 0.2241E-04 0.1993E-02
 0.1440E+02 0.1059E+00 0.2271E-04 0.2064E-02
 0.1435E+02 0.1085E+00 0.2300E-04 0.2135E-02
 0.1430E+02 0.1111E+00 0.2329E-04 0.2206E-02
 0.1425E+02 0.1137E+00 0.2359E-04 0.2277E-02
 0.1420E+02 0.1163E+00 0.2388E-04 0.2349E-02
 0.1415E+02 0.1189E+00 0.2417E-04 0.2420E-02
 0.1410E+02 0.1215E+00 0.2446E-04 0.2491E-02
 0.1405E+02 0.1241E+00 0.2476E-04 0.2562E-02
 0.1400E+02 0.1267E+00 0.2505E-04 0.2633E-02
 0.1395E+02 0.1293E+00 0.2534E-04 0.2704E-02
 0.1390E+02 0.1319E+00 0.2564E-04 0.2775E-02
 0.1385E+02 0.1345E+00 0.2593E-04 0.2846E-02
 0.1380E+02 0.1371E+00 0.2622E-04 0.2917E-02
 0.1375E+02 0.1398E+00 0.2652E-04 0.2988E-02
 0.1370E+02 0.1424E+00 0.2687E-04 0.3059E-02
 0.1365E+02 0.1455E+00 0.2744E-04 0.3154E-02
 0.1360E+02 0.1491E+00 0.2802E-04 0.3264E-02
 0.1355E+02 0.1526E+00 0.2859E-04 0.3375E-02
 0.1350E+02 0.1562E+00 0.2917E-04 0.3486E-02
 0.1345E+02 0.1598E+00 0.2975E-04 0.3596E-02
 0.1340E+02 0.1633E+00 0.3032E-04 0.3707E-02
 0.1335E+02 0.1669E+00 0.3090E-04 0.3818E-02
 0.1330E+02 0.1704E+00 0.3148E-04 0.3928E-02
 0.1325E+02 0.1740E+00 0.3205E-04 0.4039E-02
 0.1320E+02 0.1775E+00 0.3263E-04 0.4150E-02
 0.1315E+02 0.1811E+00 0.3320E-04 0.4261E-02
 0.1310E+02 0.1846E+00 0.3378E-04 0.4371E-02
 0.1305E+02 0.1882E+00 0.3436E-04 0.4482E-02
 0.1300E+02 0.1917E+00 0.3493E-04 0.4593E-02
 0.1295E+02 0.1953E+00 0.3551E-04 0.4703E-02
 0.1290E+02 0.1989E+00 0.3609E-04 0.4814E-02
 0.1285E+02 0.2024E+00 0.3666E-04 0.4925E-02
 0.1280E+02 0.2060E+00 0.3724E-04 0.5035E-02
 0.1275E+02 0.2095E+00 0.3781E-04 0.5146E-02
 0.1270E+02 0.2131E+00 0.3839E-04 0.5257E-02
 0.1265E+02 0.2173E+00 0.3930E-04 0.5393E-02
 0.1260E+02 0.2220E+00 0.4021E-04 0.5545E-02
 0.1255E+02 0.2267E+00 0.4112E-04 0.5698E-02
 0.1250E+02 0.2314E+00 0.4203E-04 0.5850E-02
 0.1245E+02 0.2361E+00 0.4294E-04 0.6003E-02
 0.1240E+02 0.2408E+00 0.4385E-04 0.6155E-02
 0.1235E+02 0.2455E+00 0.4476E-04 0.6308E-02
 0.1230E+02 0.2502E+00 0.4567E-04 0.6460E-02
 0.1225E+02 0.2549E+00 0.4658E-04 0.6613E-02
 0.1220E+02 0.2596E+00 0.4749E-04 0.6765E-02
 0.1215E+02 0.2643E+00 0.4841E-04 0.6918E-02
 0.1210E+02 0.2690E+00 0.4932E-04 0.7070E-02
 0.1205E+02 0.2737E+00 0.5023E-04 0.7223E-02
 0.1200E+02 0.2784E+00 0.5114E-04 0.7375E-02
 0.1195E+02 0.2831E+00 0.5205E-04 0.7528E-02
 0.1190E+02 0.2878E+00 0.5296E-04 0.7680E-02
 0.1185E+02 0.2925E+00 0.5387E-04 0.7833E-02
 0.1180E+02 0.2975E+00 0.5513E-04 0.8001E-02
