 # Proper cosmic mean free path for photons at 1 and 4 Ryd
 #
 # The following 11 lines are model identification flags
 # CUBA V6.3 Nov 2011
 # 0.1000E+01
 # 0.4000E+00 0.1300E+01 0.2000E+00 0.4400E+00 0.1570E+01 0.9000E+00
 # 0.1200E+06 0.1000E+05 0.5000E+04 0.1300E+04
 # 0.3000E+00 0.7000E+00 0.8900E-01 0.7000E+00
 # 0.1000E+01
 # Inputs/salp_SFRD1parfit.hiz.dat
 # Inputs/column_dist.dat
 # 0.1000E+01
 # 0.1800E-03 0.3400E+01
 # 0.1000E+02
 #
 # The following 2 lines are column identification labels
 # z=redshift, mfp_912=proper mean free path at 1 Ryd (in Mpc), mfp_228=same at 4 Ryd
 #    z	        mfp_912    mfp_228    

 0.0000E+000 0.4609E+004 0.2752E+004
 0.4912E-001 0.4262E+004 0.2505E+004
 0.1006E+000 0.3932E+004 0.2278E+004
 0.1547E+000 0.3619E+004 0.2069E+004
 0.2114E+000 0.3322E+004 0.1877E+004
 0.2709E+000 0.3042E+004 0.1699E+004
 0.3333E+000 0.2779E+004 0.1536E+004
 0.3988E+000 0.2532E+004 0.1386E+004
 0.4675E+000 0.2301E+004 0.1249E+004
 0.5396E+000 0.2085E+004 0.1122E+004
 0.6152E+000 0.1886E+004 0.1007E+004
 0.6945E+000 0.1701E+004 0.9011E+003
 0.7778E+000 0.1531E+004 0.8047E+003
 0.8651E+000 0.1375E+004 0.7170E+003
 0.9567E+000 0.1232E+004 0.6372E+003
 0.1053E+001 0.1102E+004 0.5648E+003
 0.1154E+001 0.9845E+003 0.4991E+003
 0.1259E+001 0.8778E+003 0.4393E+003
 0.1370E+001 0.7816E+003 0.3847E+003
 0.1487E+001 0.6950E+003 0.3345E+003
 0.1609E+001 0.5700E+003 0.2591E+003
 0.1737E+001 0.4664E+003 0.1991E+003
 0.1871E+001 0.3807E+003 0.1515E+003
 0.2013E+001 0.3101E+003 0.1140E+003
 0.2160E+001 0.2521E+003 0.8458E+002
 0.2316E+001 0.2045E+003 0.6157E+002
 0.2479E+001 0.1655E+003 0.4368E+002
 0.2649E+001 0.1338E+003 0.2988E+002
 0.2829E+001 0.1079E+003 0.1940E+002
 0.3017E+001 0.8681E+002 0.1175E+002
 0.3214E+001 0.6975E+002 0.6628E+001
 0.3421E+001 0.5593E+002 0.3568E+001
 0.3638E+001 0.4478E+002 0.1895E+001
 0.3866E+001 0.3579E+002 0.1018E+001
 0.4105E+001 0.2855E+002 0.5570E+000
 0.4356E+001 0.2274E+002 0.3098E+000
 0.4619E+001 0.1809E+002 0.1742E+000
 0.4895E+001 0.1436E+002 0.9893E-001
 0.5184E+001 0.1139E+002 0.5668E-001
 0.5488E+001 0.9013E+001 0.3164E-001
 0.5807E+001 0.5651E+001 0.1358E-001
 0.6141E+001 0.3442E+001 0.6344E-002
 0.6492E+001 0.2047E+001 0.3213E-002
 0.6859E+001 0.1195E+001 0.1747E-002
 0.7246E+001 0.6874E+000 0.1003E-002
 0.7650E+001 0.3913E+000 0.5992E-003
 0.8075E+001 0.2210E+000 0.3671E-003
 0.8521E+001 0.1241E+000 0.2286E-003
 0.8989E+001 0.6939E-001 0.1438E-003
 0.9479E+001 0.3869E-001 0.9113E-004
 0.9994E+001 0.2152E-001 0.5804E-004
 0.1053E+002 0.1195E-001 0.3711E-004
 0.1110E+002 0.6630E-002 0.2378E-004
 0.1169E+002 0.3674E-002 0.1512E-004
 0.1232E+002 0.2035E-002 0.1016E-004
 0.1297E+002 0.1126E-002 0.6874E-005
 0.1366E+002 0.6231E-003 0.4673E-005
 0.1438E+002 0.3446E-003 0.3192E-005
 0.1513E+002 0.1902E-003 0.2193E-005
 0.1593E+002 0.1049E-003 0.1210E-005
